Activity ID	Primary Resource	Activity Name	T+1 Start (BL1)	T+1 Finish (BL1)	T-0 Start (BL0)	T-0 Finish (BL0)
 TMW-B-200-14 devB	PSE12.Penwell-PSE	Software Control Program - Rev 01 - discipline review (for training use only)	01-Nov-16	14-Nov-16	08-Nov-16	14-Nov-16
 TMW-B-200-14 devC01	PSE12.Penwell-PSE	Software Control Program - Rev 01 - impacted group review (for training use only)	15-Nov-16	30-Nov-16	11-Nov-16	30-Nov-16
 TMW-B-200-22 devD	TG.Trn Eng	Administrative Document-Only Change (CR-NND-16-00283) - PLI review	17-Nov-16	17-Nov-16	01-Dec-16	01-Dec-16
 TMW-B-200-22 devE	DM15.DM Eng-DE (Taylor)	Administrative Document-Only Change (CR-NND-16-00283) - DM approval	18-Nov-16	18-Nov-16	02-Dec-16	02-Dec-16
 TMW-B-201-12	E46.Van Sicklen-F&A	Control of Special Nuclear Material (qualification)	24-Oct-16	02-Nov-16	24-Oct-16	29-Nov-16
 TMW-B-201-19	E46.Van Sicklen-F&A	SNM Inventory Reporting (qualification)	24-Oct-16	27-Oct-16	24-Oct-16	29-Nov-16
 TMW-B-205-01 devD	TG.Trn Eng	Licensing Fundamentals - PLI review	01-Nov-16	14-Nov-16	01-Dec-16	14-Dec-16
 TMW-B-205-01 devE	NL02.NL-Kersey	Licensing Fundamentals - DM approval	15-Nov-16	16-Nov-16	15-Dec-16	16-Dec-16
 TMW-B-205-02 devD	TG.Trn Eng	Technical Specifications - PLI review	01-Nov-16	14-Nov-16	01-Dec-16	14-Dec-16
 TMW-B-205-02 devE	NL03.NL-Cribb	Technical Specifications - DM approval	15-Nov-16	16-Nov-16	15-Dec-16	16-Dec-16
 TMW-B-205-05 devD	TG.Trn Eng	Licensing Requirements - PLI review	01-Nov-16	14-Nov-16	01-Dec-16	14-Dec-16
 TMW-B-205-05 devE	NL04.NL-Diane	Licensing Requirements - DM approval	15-Nov-16	16-Nov-16	15-Dec-16	16-Dec-16
 TMW-B-205-06 devD	TG.Trn Eng	LER Requirements - PLI review	01-Nov-16	14-Nov-16	01-Dec-16	14-Dec-16
 TMW-B-205-06 devE	NL05.NL-Sanders	LER Requirements - DM approval	15-Nov-16	16-Nov-16	15-Dec-16	16-Dec-16
 TMW-B-205-07 devD	TG.Trn Eng	Relief Requests - PLI review	01-Nov-16	14-Nov-16	01-Dec-16	14-Dec-16
 TMW-B-205-07 devE	NL06.NL-Barwick	Relief Requests - DM approval	15-Nov-16	16-Nov-16	15-Dec-16	16-Dec-16
 TMW-B-205-08	NL01.NL-TBD	FSAR/FPER Changes (qualification)	17-Nov-16	19-Jan-17	03-Jan-17	13-Feb-17
 TMW-B-205-08 devD	TG.Trn Eng	FSAR/FPER Changes - PLI review	01-Nov-16	14-Nov-16	01-Dec-16	14-Dec-16
 TMW-B-205-08 devE	NL07.NL-Presson	FSAR/FPER Changes - DM approval	15-Nov-16	16-Nov-16	15-Dec-16	16-Dec-16
 TMW-B-206-01 devD	TG.Trn Eng	Engineering Change Development - PLI review	28-Sep-16	02-Nov-16	28-Sep-16	02-Dec-16
 TMW-B-206-03 devD	TG.Trn Eng	Set Point Control - PLI review	01-Nov-16	14-Nov-16	01-Dec-16	14-Dec-16
 TMW-B-206-03 devE	DM15.DM Eng-DE (Taylor)	Set Point Control - DM approval	15-Nov-16	16-Nov-16	15-Dec-16	16-Dec-16
 TMW-B-206-20 devC01	PSE2.Jim Bringley-SupvPSE	Human Factors Engineering - impacted group review	10-Nov-16	11-Nov-16	01-Dec-16	02-Dec-16
 TMW-B-206-20 devD	TG.Trn Eng	Human Factors Engineering - PLI review	14-Nov-16	29-Nov-16	05-Dec-16	16-Dec-16
 TMW-B-206-20 devE	DM15.DM Eng-DE (Taylor)	Human Factors Engineering - DM approval	30-Nov-16	01-Dec-16	19-Dec-16	20-Dec-16
 TMW-B-207-01 devB	PSEREV.PSE Review	PSE Administration and Indoctrination  - Rev 01 - discipline review (for training use only)	01-Nov-16	02-Nov-16	01-Nov-16	02-Nov-16
 TMW-B-207-01 devD	TG.Trn Eng	PSE Administration and Indoctrination  - Rev 01 - PLI review (for training use only)	03-Nov-16	11-Nov-16	01-Nov-16	04-Nov-16
 TMW-B-207-01 devH	DM16.DM Eng-PSE (Sterdis)	PSE Administration and Indoctrination  - Rev 01 - DM approval	14-Nov-16	15-Nov-16	15-Nov-16	16-Nov-16
 TMW-B-207-02 devB	PSEREV.PSE Review	Preventive Maintenance - discipline review (for training use only)	24-Oct-16	04-Nov-16	24-Oct-16	04-Nov-16
 TMW-B-207-02 devD	TG.Trn Eng	Preventive Maintenance - PLI review (for training use only)	21-Nov-16	06-Dec-16	01-Dec-16	14-Dec-16
 TMW-B-207-03 devB	PSE32.Sonnett-PSE	Maintenance Rule for System Engineers  - discipline review (for training use only)	01-Nov-16	14-Nov-16	11-Nov-16	11-Nov-16
 TMW-B-207-03 devD	TG.Trn Eng	Maintenance Rule for System Engineers  - PLI review (for training use only)	15-Nov-16	30-Nov-16	01-Dec-16	14-Dec-16
 TMW-B-207-03a	PSEQUAL.PSE TMW Qualifications	Maintenance Rule for System Engineers (Collaboration) - (qualification) 2 Programs Engineers & 2 PSE Engineers qualified	18-Nov-16	28-Nov-16	05-Dec-16	09-Dec-16
 TMW-B-207-03a devD	TG.Trn Eng	Maintenance Rule for System Engineers (Collaboration)  - PLI review (for training use only)	01-Nov-16	14-Nov-16	01-Nov-16	04-Nov-16
 TMW-B-207-03a devH	DM16.DM Eng-PSE (Sterdis)	Maintenance Rule for System Engineers (Collaboration)  - DM approval	16-Nov-16	17-Nov-16	01-Dec-16	02-Dec-16
 TMW-B-207-06 devA	PSE21.Troficanto-PSE	In-Service Inspection - draft	30-Nov-16	20-Dec-16	30-Nov-16	20-Dec-16
 TMW-B-207-10 devA	PSE16.Felch-PSE	Motor Operated Valves - Rev 01 - draft	01-Nov-16	21-Nov-16	01-Nov-16	23-Nov-16
 TMW-B-207-10 devB	PSE38.Moniri-PSE	Motor Operated Valves - Rev 01 - discipline review (for training use only)	22-Nov-16	07-Dec-16	28-Nov-16	09-Dec-16
 TMW-B-207-11 devB	PSEREV.PSE Review	Snubber Program - Rev 01 - discipline review (for training use only)	31-Oct-16	01-Nov-16	31-Oct-16	01-Nov-16
 TMW-B-207-11 devC01	PSE20.Post-PSE	Snubber Program - Rev 01 - impacted group review (for training use only)	14-Nov-16	01-Dec-16	16-Nov-16	17-Nov-16
 TMW-B-207-12 devA	PSE16.Felch-PSE	Air Operated Valves - Rev 01 -draft	01-Nov-16	21-Nov-16	01-Nov-16	23-Nov-16
 TMW-B-207-12 devB	PSE38.Moniri-PSE	Air Operated Valves - Rev 01 - discipline review (for training use only)	22-Nov-16	07-Dec-16	28-Nov-16	09-Dec-16
 TMW-B-207-14 devA	PSE20.Post-PSE	Boric Acid Leak Inspection - Rev 01 -draft	24-Oct-16	04-Nov-16	24-Oct-16	04-Nov-16
 TMW-B-207-14 devB	PSE02.Shank-PSE	Boric Acid Leak Inspection - Rev 01 - discipline review (for training use only)	07-Nov-16	11-Nov-16	11-Nov-16	29-Nov-16
 TMW-B-207-14 devC01	PSE20.Post-PSE	Boric Acid Leak Inspection - Rev 01 - impacted group review (for training use only)	14-Nov-16	01-Dec-16	30-Nov-16	30-Nov-16
 TMW-B-207-17 devB	PSE32.Sonnett-PSE	Maintenance Rule Program Owner  - discipline review (for training use only)	01-Nov-16	14-Nov-16	11-Nov-16	01-Dec-16
 TMW-B-207-17 devD	TG.Trn Eng	Maintenance Rule Program Owner  - PLI review (for training use only)	15-Nov-16	30-Nov-16	02-Dec-16	15-Dec-16
 TMW-B-207-17a	PROGQUAL.PROGRAMS TMW Qualifications	Maintenance Rule Program Owner (Collaboration)  - (qualification) - 2 Programs Engineers qualified	18-Nov-16	28-Nov-16	05-Dec-16	09-Dec-16
 TMW-B-207-17a devD	TG.Trn Eng	Maintenance Rule Program Owner (Collaboration)  - PLI review (for training use only)	01-Nov-16	14-Nov-16	01-Nov-16	04-Nov-16
 TMW-B-207-17a devH	DM16.DM Eng-PSE (Sterdis)	Maintenance Rule Program Owner (Collaboration)  - DM approval	16-Nov-16	17-Nov-16	01-Dec-16	02-Dec-16
 TMW-B-207-18 devA	PSE07.Free-PSE	Plant Lubrication Program - draft	17-Oct-16	01-Nov-16	17-Oct-16	01-Nov-16
 TMW-B-207-18 devB	PSE16.Felch-PSE	Plant Lubrication Program - discipline review (for training use only)	07-Nov-16	18-Nov-16	07-Nov-16	07-Nov-16
 TMW-B-207-18 devD	TG.Trn Eng	Plant Lubrication Program - PLI review (for training use only)	21-Nov-16	06-Dec-16	01-Dec-16	14-Dec-16
 TMW-B-207-19 devD	TG.Trn Eng	Heat Exchanger Program - Rev 01 - PLI review (for training use only)	01-Nov-16	14-Nov-16	01-Dec-16	14-Dec-16
 TMW-B-207-21 devA	PSE29.McLellan-PSE	Thermal Performance Program - draft	01-Nov-16	21-Nov-16	01-May-17	19-May-17
 TMW-B-207-21 devB	PSEREV.PSE Review	Thermal Performance Program - discipline review (for training use only)	22-Nov-16	07-Dec-16	22-May-17	05-Jun-17
 TMW-B-207-22 devA	PSE33.Yang-PSE	Equipment Reliability - draft	18-Oct-16	07-Nov-16	18-Oct-16	01-Nov-16
 TMW-B-207-22 devB	PSEREV.PSE Review	Equipment Reliability - discipline review (for training use only)	08-Nov-16	21-Nov-16	01-Nov-16	01-Nov-16
 TMW-B-207-22 devC01	PSE33.Yang-PSE	Equipment Reliability - impacted group review(for training use only)	22-Nov-16	07-Dec-16	04-Nov-16	10-Nov-16
 TMW-B-207-26 devA	PSE02.Shank-PSE	Underground Piping and Tank Integrity Program (UPTIP) - Rev 01 -draft	24-Oct-16	01-Nov-16	24-Oct-16	01-Nov-16
 TMW-B-207-26 devB	PSE21.Troficanto-PSE	Underground Piping and Tank Integrity Program (UPTIP) - Rev 01- discipline review (for training use only)	14-Nov-16	29-Nov-16	02-Nov-16	02-Nov-16
 TMW-B-207-26 devD	TG.Trn Eng	Underground Piping and Tank Integrity Program (UPTIP) - Rev 01- PLI review (for training use only)	30-Nov-16	13-Dec-16	01-Dec-16	14-Dec-16
 TMW-B-207-28 devA	PSE06.Terry-PSE	Leak Reduction Program - Rev 01 - draft	17-Oct-16	04-Nov-16	17-Oct-16	02-Nov-16
 TMW-B-207-28 devB	PSE5.Himel-SupvPSE	Leak Reduction Program - Rev 01 - discipline review (for training use only)	07-Nov-16	18-Nov-16	01-Dec-16	14-Dec-16
 TMW-B-207-28 devD	TG.Trn Eng	Leak Reduction Program - Rev 01 - PLI review (for training use only)	21-Nov-16	06-Dec-16	15-Dec-16	30-Dec-16
 TMW-B-207-29 devD	TG.Trn Eng	Flow Accelerated Corrosion - Rev 01 - PLI review (for training use only)	01-Nov-16	14-Nov-16	01-Dec-16	14-Dec-16
 TMW-B-207-30 devD	TG.Trn Eng	Motor Reliability - PLI review (for training use only)	17-Oct-16	01-Nov-16	17-Oct-16	01-Dec-16
 TMW-B-207-31 devA	PSE04.Schmick-PSE	Batteries Monitoring and Maintenance Program - Rev 01 -draft	21-Oct-16	02-Nov-16	21-Oct-16	01-Nov-16
 TMW-B-207-31 devB	DE16.Gibson-DE	Batteries Monitoring and Maintenance Program - Rev 01 - discipline review (for training use only)	03-Nov-16	11-Nov-16	01-Nov-16	02-Nov-16
 TMW-B-207-31 devD	TG.Trn Eng	Batteries Monitoring and Maintenance Program - Rev 01 - PLI review (for training use only)	30-Nov-16	06-Dec-16	01-Dec-16	07-Dec-16
 TMW-B-207-32 devB	PSE3.Mike Fanguy-SupvPSE	Steam Generator - Rev 01 - discipline review (for training use only)	01-Nov-16	14-Nov-16	09-Nov-16	10-Nov-16
 TMW-B-207-32 devD	TG.Trn Eng	Steam Generator - Rev 01 - PLI review (for training use only)	15-Nov-16	30-Nov-16	15-Nov-16	05-Dec-16
 TMW-B-207-33 devB	PSE27.Dao-PSE	Steam Turbine - Rev 01 - discipline review (for training use only)	01-Nov-16	14-Nov-16	11-Nov-16	23-Nov-16
 TMW-B-207-33 devD	TG.Trn Eng	Steam Turbine - Rev 01 - PLI review (for training use only)	15-Nov-16	30-Nov-16	01-Dec-16	14-Dec-16
 TMW-B-207-35 devB	PSE21.Troficanto-PSE	Fatigue Monitoring Program - Rev 01 - discipline review (for training use only)	01-Nov-16	14-Nov-16	04-Nov-16	14-Nov-16
 TMW-B-207-35 devD	TG.Trn Eng	Fatigue Monitoring Program - Rev 01 - PLI review (for training use only)	15-Nov-16	30-Nov-16	01-Dec-16	14-Dec-16
 TMW-B-207-37 devC01	PSE03.Ramage-PSE	Breaker Program Training - Rev 01 - impacted group review (for training use only)	15-Nov-16	30-Nov-16	01-Nov-16	08-Nov-16
 TMW-B-207-39 devD	TG.Trn Eng	Pumps - PLI review (for training use only)	17-Oct-16	01-Nov-16	17-Oct-16	01-Dec-16
 TMW-B-207-42 devA	PSE22.Garrett-PSE	Environmental Equipment Qualification (Advanced) - Rev 01 -draft	17-Oct-16	01-Nov-16	17-Oct-16	01-Nov-16
 TMW-B-207-42 devB	PSE1.Kenneth Leonelli-SupvPSE	Environmental Equipment Qualification (Advanced) - Rev 01 - discipline review (for training use only)	02-Nov-16	08-Nov-16	02-Nov-16	07-Nov-16
 TMW-B-207-42 devC01	PSE22.Garrett-PSE	Environmental Equipment Qualification (Advanced) - Rev 01 - impacted group review (for training use only)	09-Nov-16	22-Nov-16	08-Nov-16	17-Nov-16
 TMW-B-207-42 devD	TG.Trn Eng	Environmental Equipment Qualification (Advanced) - Rev 01 - PLI review (for training use only)	23-Nov-16	08-Dec-16	01-Dec-16	13-Dec-16
 TMW-B-207-XX devA	PSE29.McLellan-PSE	LEFM - draft	01-Nov-16	21-Nov-16	01-May-17	19-May-17
 TMW-B-207-XX devB	PSEREV.PSE Review	LEFM - discipline review (for training use only)	22-Nov-16	07-Dec-16	22-May-17	05-Jun-17
 TMW-B-208-01 devA	E65.Tampas-PRA	PRA - Overview - draft	01-Nov-16	07-Nov-16	01-Nov-16	07-Nov-16
 TMW-B-208-01 devB	E67.Sajjad-PRA	PRA - Overview - discipline review	08-Nov-16	09-Nov-16	07-Nov-16	10-Nov-16
 TMW-B-208-01 devC01	EC.PRA	PRA - Overview - impacted group review	10-Nov-16	11-Nov-16	03-Apr-17	04-Apr-17
 TMW-B-208-03 devA	E67.Sajjad-PRA	PRA - Risk Assessment - draft	01-Nov-16	07-Nov-16	01-Nov-16	07-Nov-16
 TMW-B-208-03 devB	E65.Tampas-PRA	PRA - Risk Assessment - discipline review	08-Nov-16	09-Nov-16	28-Nov-16	02-Dec-16
 TMW-B-208-03 devC01	EC.PRA	PRA - Risk Assessment - impacted group review	10-Nov-16	11-Nov-16	03-Apr-17	04-Apr-17
 TMW-B-209-03 devD	TG.Trn Eng	Software Quality Assurance (SQA) - Rev 01 - PLI review (for training use only)	11-Oct-16	02-Nov-16	11-Oct-16	02-Dec-16
 TMW-B-209-04 devD	TG.Trn Eng	Digital Maintenance - Rev 01 - PLI review (for training use only)	07-Oct-16	03-Nov-16	07-Oct-16	05-Dec-16
 TOSFEG1030	PSE-34.Dao-PSE FEG	SCE&G Initial Review of FEG Mapping	16-Nov-16	22-Nov-16	01-Dec-16	07-Dec-16
 TOSFID130	PSE-36.Yang-PSE ER	SCE&G Component Classification	30-Nov-16	13-Dec-16	06-Jan-17	19-Jan-17
 TOSMR1290	PSE-37.Sonnett-PSE PM/MR	SCE&G  MR Expert Panel Meeting	04-Nov-16	04-Nov-16	01-Dec-16	01-Dec-16
 TOSMR1330	PSE-37.Sonnett-PSE PM/MR	MR Performance Criteria Expert Panel Comment Resolution	15-Nov-16	21-Nov-16	09-Dec-16	15-Dec-16
 TRN-ILO-P100	DM18.Supv Ops Trn	Provisional Qual Development - NLO	01-Nov-16	30-Jan-17	01-Dec-16	27-Feb-17
 TRN-NLO-P100	DM18.Supv Ops Trn	Provisional Qual Development - ILO	01-Nov-16	30-Jan-17	01-Dec-16	27-Feb-17
 TSC-HVAC-003.05	DE01.Guevara-DE	30% Conceptual Design review	04-Nov-16	21-Nov-16	30-Nov-16	15-Dec-16
 TSC-HVAC-003.06	DE01.Guevara-DE	30% Conceptual Design Presentation	22-Nov-16	15-Dec-16	16-Dec-16	11-Jan-17
 TSC-HVAC-004.05	DE06.Watkins-DE	TSC HVAC - Filtration Unit Spec Sign out	01-Nov-16	14-Nov-16	21-Nov-16	06-Dec-16
 TSC-HVAC-004.06	DE06.Watkins-DE	TSC HVAC - Filtration Unit BID SPECS AND Vendor selection-issue PO	15-Nov-16	15-Nov-16	07-Dec-16	07-Dec-16
 VC2-CHM-0701d	CH.Chem	Primary System Data Reporting - Rev00 - Approval	03-Nov-16	16-Nov-16	01-Nov-16	15-Dec-16
 VC2-CHM-0702c	CH.Chem	Secondary System Data Reporting - Rev00 - Review	31-Oct-16	30-Nov-16	31-Oct-16	15-Dec-16
 VC2-CHM-2501c01	CH.Chem	Operation of Demineralized Water Treatment System - Rev00 - Review	31-Oct-16	30-Nov-16	31-Oct-16	15-Dec-16
 VC2-CHM-7305a	CH.Chem	Primary to Secondary Leakage Rate Determination - Rev00 - Preparation	01-Nov-16	07-Nov-16	01-Nov-16	07-Nov-16
 VC2-CHM-7305b	CH.Chem	Primary to Secondary Leakage Rate Determination - Rev00 - Draft	08-Nov-16	30-Nov-16	08-Nov-16	15-Dec-16
 VC2-SOP-DAS-0001b	OP.Ops Proc	Diverse Actuation System (APP-DAS-GJP-101) - Rev00 - Draft	30-Nov-16	06-Dec-16	01-Feb-17	07-Feb-17
 VC2-SOP-FWS-0002b	OP.Ops Proc	Field Walkdown/Validate (APP-FWS-GJP-102) Startup Feedwater System - Rev00 - Draft	30-Nov-16	29-Dec-16	01-Feb-17	28-Feb-17
 VC2-STP-PMS-1007b	OP.Ops Proc	ESF Safety Feature Actuation Logic Test (APP-PMS-GJP-807) - Rev00 - Draft	21-Oct-16	08-Nov-16	01-Mar-17	17-Mar-17
 VC2-STP-PMS-1007c01	O2.Ops SL	ESF Safety Feature Actuation Logic Test (APP-PMS-GJP-807) - Rev00 - Review	09-Nov-16	09-Dec-16	20-Mar-17	18-Apr-17
 VC2-STP-PXS-1014b	OP.Ops Proc	PRHR HX Heat Transfer Operability 10 Year (APP-PXS-GJP-814)- Rev00 -Draft	21-Oct-16	02-Nov-16	02-Mar-17	10-Mar-17
 VC2-STP-PXS-1014c01	O2.Ops SL	PRHR HX Heat Transfer Operability 10 Year (APP-PXS-GJP-814) - Rev00 - Review	03-Nov-16	05-Dec-16	13-Mar-17	10-Apr-17
 VC2-STP-PXS-1032a	OP.Ops Proc	Division B - Containment High Range Radiation Monitor Calibration (APP-PXS-GJP-832) - Rev00 - Preparation	02-Nov-16	02-Nov-16	02-Mar-17	02-Mar-17
 VC2-STP-ZOS-1003b	OP.Ops Proc	Diesel Generator A - 10 Year Operational Test (APP-ZOS-GJP-803) - Rev00 - Draft	21-Oct-16	17-Nov-16	01-Dec-16	30-Dec-16
 VC2-STP-ZOS-1003c01	O2.Ops SL	Diesel Generator A - 10 Year Operational Test (APP-ZOS-GJP-803) - Rev00 - Review	18-Nov-16	20-Dec-16	03-Jan-17	31-Jan-17
 VCB-AA-01b	DE02.Howell-DE	Design Analysis Assumptions - Rev00 - Draft	19-Oct-16	08-Nov-16	19-Oct-16	08-Nov-16
 VCB-AA-01c01	DE02.Howell-DE	Design Analysis Assumptions - Rev00 - Review	09-Nov-16	09-Dec-16	09-Nov-16	28-Nov-16
 VCB-AA-01CW	DE02.Howell-DE	Design Analysis Assumptions - Rev00 - C-Res1	12-Dec-16	20-Dec-16	28-Nov-16	29-Nov-16
 VCB-AA-01CY	DE02.Howell-DE	Design Analysis Assumptions - Rev00 - C-5059	21-Dec-16	12-Jan-17	28-Nov-16	29-Nov-16
 VCB-AA-01d	DE02.Howell-DE	Design Analysis Assumptions - Rev00 - Approval	24-Jan-17	06-Feb-17	28-Nov-16	29-Nov-16
 VCB-CHM-0040c01	CH.Chem	Chemistry Self-Assesment - Rev00 - Review	31-Oct-16	30-Nov-16	31-Oct-16	20-Dec-16
 VCB-CHM-0210c	CH.Chem	Data collection for WANO, NRC, and NOD performance indicators - Rev00 - Review	31-Oct-16	30-Nov-16	31-Oct-16	15-Dec-16
 VCB-CHM-0211c	CH.Chem	Operation of EpriWorks Software - Rev00 - Review	31-Oct-16	30-Nov-16	31-Oct-16	30-Nov-16
 VCB-CHM-0220d	CH.Chem	Chemical additive evaluation and implementation - Rev00 - Approval	19-Oct-16	01-Nov-16	19-Oct-16	02-Nov-16
 VCB-CHM-1130d	CH.Chem	Boric Acid Deposit Sampling Method - Rev00 - Approval	01-Nov-16	07-Nov-16	18-Nov-16	18-Nov-16
 VCB-CHM-2199d	CH.Chem	Chemical Hideout Return - Rev00 - Approval	01-Nov-16	14-Nov-16	01-Nov-16	18-Nov-16
 VCB-CHM-2401c01	CH.Chem	Secondary Systems Layup - Rev00 - Review	14-Oct-16	11-Nov-16	14-Oct-16	15-Dec-16
 VCB-CHM-2401d	CH.Chem	Secondary Systems Layup - Rev00 - Approval	14-Nov-16	06-Dec-16	16-Dec-16	10-Jan-17
 VCB-CHM-7301a	CH.Chem	Tritium Determination - Rev00 - Preparation	01-Nov-16	07-Nov-16	01-Nov-16	07-Nov-16
 VCB-CHM-7301b	CH.Chem	Tritium Determination - Rev00 - Draft	08-Nov-16	30-Nov-16	08-Nov-16	28-Nov-16
 VCB-CHM-7302b	CH.Chem	Dose Equivalent Iodine Determination - Rev00 - Draft	10-Oct-16	18-Nov-16	10-Oct-16	18-Nov-16
 VCB-CHM-7302c01	CH.Chem	Dose Equivalent Iodine Determination - Rev00 - Review	21-Nov-16	21-Dec-16	21-Nov-16	29-Dec-16
 VCB-CHM-7303b	CH.Chem	Dose Equivalent  Xenon Determination - Rev00 - Draft	10-Oct-16	18-Nov-16	10-Oct-16	06-Dec-16
 VCB-CHM-7303c01	CH.Chem	Dose Equivalent  Xenon Determination - Rev00 - Review	21-Nov-16	21-Dec-16	07-Dec-16	09-Jan-17
 VCB-CHM-7304b	CH.Chem	Degassed Gross Activity Determination - Rev00 - Draft	10-Oct-16	18-Nov-16	10-Oct-16	21-Nov-16
 VCB-CHM-7304c01	CH.Chem	Degassed Gross Activity Determination - Rev00 - Review	21-Nov-16	21-Dec-16	01-Dec-16	03-Jan-17
 VCB-CSPP-1000d	DM16.DM Eng-PSE (Sterdis)	Global Cyber Security Procedure - Rev00 - Approval	18-Apr-16	01-Nov-16	18-Apr-16	01-Dec-16
 VCB-CSPP-1001c01	PSE11.Jacome-PSE	Plant Digital Asset Control of Removable Media / Devices - Rev00 - Review	31-Oct-16	06-Dec-16	31-Oct-16	29-Nov-16
 VCB-CSPP-1001CX	PSE2.Jim Bringley-SupvPSE	Plant Digital Asset Control of Removable Media / Devices - Rev00 - C-QR	01-Nov-16	18-Nov-16	12-Dec-16	12-Dec-16
 VCB-CSPP-1001CY	PSEREV.PSE Review	Plant Digital Asset Control of Removable Media / Devices - Rev00 - C-5059	28-Oct-16	16-Nov-16	28-Oct-16	02-Nov-16
 VCB-CSPP-1001CZ	PSE11.Jacome-PSE	Plant Digital Asset Control of Removable Media / Devices - Rev00 - C-Res2	21-Nov-16	01-Dec-16	13-Dec-16	21-Dec-16
 VCB-CSPP-1002CY	PSE2.Jim Bringley-SupvPSE	Critical Systems (CS), Digital Asset (DA), and Critical Digital Asset (CDA) Identification - Rev00 - C-5059	13-Oct-16	01-Nov-16	13-Oct-16	28-Nov-16
 VCB-CSPP-1002d	DM16.DM Eng-PSE (Sterdis)	Critical Systems (CS), Digital Asset (DA), and Critical Digital Asset (CDA) Identification - Rev00 - Approval	01-Nov-16	14-Nov-16	03-Jan-17	16-Jan-17
 VCB-CSPP-1004d	DM16.DM Eng-PSE (Sterdis)	Cyber Security Assessment of Critical Digital Assets - Rev00 - Approval	01-Nov-16	14-Nov-16	01-Dec-16	14-Dec-16
 VCB-CSPP-1005CX	PSE2.Jim Bringley-SupvPSE	Security Control Implementation Strategy - Rev00 - C-QR	01-Nov-16	18-Nov-16	28-Nov-16	29-Nov-16
 VCB-CSPP-1005CY	PSEREV.PSE Review	Security Control Implementation Strategy - Rev00 - C-5059	01-Nov-16	18-Nov-16	01-Nov-16	02-Nov-16
 VCB-CSPP-1005CZ	PSE11.Jacome-PSE	Security Control Implementation Strategy - Rev00 - C-Res2	21-Nov-16	01-Dec-16	29-Nov-16	29-Nov-16
 VCB-CSPP-1015a	PSE11.Jacome-PSE	SYSTEM AND INFORMATION INTEGRITY - Rev00 - Preparation	01-Nov-16	07-Nov-16	01-Nov-16	07-Nov-16
 VCB-CSPP-1015b	PSE11.Jacome-PSE	SYSTEM AND INFORMATION INTEGRITY - Rev00 - Draft	08-Nov-16	30-Nov-16	08-Nov-16	21-Nov-16
 VCB-CSPP-1015c01	PSE11.Jacome-PSE	SYSTEM AND INFORMATION INTEGRITY - Rev00 - Review	01-Dec-16	03-Jan-17	21-Nov-16	21-Dec-16
 VCB-CSPP-1025CZ	PSE11.Jacome-PSE	Incident Response - Rev00 - C-Res2	01-Nov-16	09-Nov-16	04-Nov-16	07-Nov-16
 VCB-CSPP-1025d	DM16.DM Eng-PSE (Sterdis)	Incident Response - Rev00 - Approval	10-Nov-16	23-Nov-16	09-Jan-17	20-Jan-17
 VCB-CSPP-1030a	PSE11.Jacome-PSE	CYBER SECURITY CONTINGENCY PLANNING - Rev00 - Preparation	01-Mar-17	07-Mar-17	21-Nov-16	22-Nov-16
 VCB-CSPP-1030b	PSE11.Jacome-PSE	CYBER SECURITY CONTINGENCY PLANNING - Rev00 - Draft	08-Mar-17	28-Mar-17	23-Nov-16	23-Nov-16
 VCB-CSPP-1030c01	PSE11.Jacome-PSE	CYBER SECURITY CONTINGENCY PLANNING - Rev00 - Review	29-Mar-17	27-Apr-17	28-Nov-16	28-Dec-16
 VCB-CSPP-1035a	PSE11.Jacome-PSE	CYBER SECURITY CONFIGURATION MANAGEMENT - Rev00 - Preparation	01-Mar-17	07-Mar-17	21-Nov-16	22-Nov-16
 VCB-CSPP-1035b	PSE11.Jacome-PSE	CYBER SECURITY CONFIGURATION MANAGEMENT - Rev00 - Draft	08-Mar-17	28-Mar-17	23-Nov-16	23-Nov-16
 VCB-CSPP-1035c01	PSE11.Jacome-PSE	CYBER SECURITY CONFIGURATION MANAGEMENT - Rev00 - Review	29-Mar-17	27-Apr-17	28-Nov-16	28-Dec-16
 VCB-CSPP-1050CX	PSE2.Jim Bringley-SupvPSE	ACCESS CONTROL - Rev00 - C-QR	31-Oct-16	17-Nov-16	31-Oct-16	07-Nov-16
 VCB-CSPP-1050CY	PSE2.Jim Bringley-SupvPSE	ACCESS CONTROL - Rev00 - C-5059	28-Oct-16	16-Nov-16	28-Oct-16	01-Nov-16
 VCB-CSPP-1050CZ	PSE11.Jacome-PSE	ACCESS CONTROL - Rev00 - C-Res2	18-Nov-16	30-Nov-16	08-Nov-16	16-Nov-16
 VCB-CSPP-1070a	PSE11.Jacome-PSE	Critical Digital Asset and Communication Protection - Rev00 - Preparation	01-Nov-16	07-Nov-16	01-Nov-16	07-Nov-16
 VCB-CSPP-1070b	PSE11.Jacome-PSE	Critical Digital Asset and Communication Protection - Rev00 - Draft	08-Nov-16	30-Nov-16	08-Nov-16	05-Dec-16
 VCB-CSPP-1080b	PSE11.Jacome-PSE	IDENTIFICATION AND AUTHENTICATION - Rev00 - Draft	24-Oct-16	22-Nov-16	31-Oct-16	01-Nov-16
 VCB-CSPP-1080c01	PSE11.Jacome-PSE	IDENTIFICATION AND AUTHENTICATION - Rev00 - Review	23-Nov-16	27-Dec-16	02-Nov-16	19-Dec-16
